vendedor,produto,categoria_do_produto,qntd,valor_venda,rank
0015a82c2db000af6aaaf3ae2ecb0532,a2ff5a97bf95719e38ea2e3b4105bce8,eletroportateis,3,2685.0,1
001cca7ae9ae17fb1caed9dfb1094831,08574b074924071f4e201e151b152b4e,ferramentas_jardim,97,10759.3,1
001e6ad469a905060d959994f1b41e4f,093cd981b714bcdff182b427d87fc8fc,esporte_lazer,1,250.0,1
002100f778ceb8431b7a1020ff7ab48f,158102fe543dbaeb84d87811bfe06d0d,moveis_decoracao,17,304.3,1
003554e2dce176b5555353e4f3555ac8,67f36b3689147d882d2b298fd0715d80,NULL,1,120.0,1
004c9cd9d87a3c30c522c48c4fc07416,54af11c815f92135fb554bd9c97dd418,cama_mesa_banho,11,908.7,1
00720abe85ba0859807595bbf045a33b,0ae935aec15938b92f6667ec2fde2dc2,utilidades_domesticas,3,312.0,1
00ab3eff1b5192e5f1a63bcecfee11c8,362db8a45afd47d3f54c0f34f7c828bc,beleza_saude,1,98.0,1
00d8b143d12632bad99c0ad66ad52825,e4db070498b75e666a0736eb2f0abcd4,fashion_bolsas_e_acessorios,1,86.0,1
00ee68308b45bc5e2660cd833c3f81cc,726b4e18f00255e2e63491bcba3f60b8,moveis_colchao_e_estofado,22,1860.0,1
00fc707aaaad2d31347cf883cd2dfe10,656e0eca68dcecf6a31b8ececfabe3e8,informatica_acessorios,17,2177.4,1
010543a62bd80aa422851e79a3bc7540,cd8cb942b6a58fcff9697762d3bc9cd7,informatica_acessorios,2,1416.0,1
010da0602d7774602cd1b3f5fb7b709e,dc3ecc737589882b0318d38cf8b3efaf,moveis_cozinha_area_de_servico_jantar_e_jardim,1,849.5,1
011b0eaba87386a2ae96a7d32bb531d1,508d48ea59be64138f0015d2cb9c75e7,beleza_saude,1,99.98,1
01266d4c46afa519678d16a8b683d325,2ad27953852ba0daa0de1213686b7cec,construcao_ferramentas_ferramentas,1,56.97,1
013900e863eace745d3ec7614cab5b1a,055019def765ce08da9fac0585e927c3,bebes,3,185.0,1
014c0679dd340a0e338872e7ec85666a,d75fe2da6eb275eafad5535fff7a2005,moveis_cozinha_area_de_servico_jantar_e_jardim,3,395.0,1
014d9a685fd57276679edd00e07089e5,e9cf370eb883adbdcb4b8738057a9d8b,papelaria,4,299.96,1
0176f73cc1195f367f7b32db1e5b3aa8,485977d79fe47209050d22d220aaab7f,cama_mesa_banho,7,979.3,1
01bcc9d254a0143f0ce9791b960b2a47,8097e6d8de77768d9f72295263e440fa,beleza_saude,6,720.51,1
01c97ebb5cdac52891c0ed1c37ba0012,d6d73c1fe2e8c0e3e90e2421ffa4b963,informatica_acessorios,7,264.6,1
